institution,operation_id,identity_scope,country,sector,event_role,date_start,date_end,precision,publication_or_release_date,source_url,locator,retrieved_on,original_sha256,status,limitations
EIB,20170028,operation; EUR45m loan signature distinct from EUR12m grant,TUN,energy,approval,2023-12-13,2023-12-13,day,2023-11-02,https://www.eib.org/en/projects/all/20170028,Milestone block; extracted lines387-397,2026-09-14,,candidate_actual,Parent should verify rendered label/date alignment; release date is separate
EIB,20170028,EUR45m financing signature,TUN,energy,signature,2023-12-30,2023-12-30,day,2023-11-02,https://www.eib.org/en/projects/all/20170028,Signature(s) EUR45m; lines306-310,2026-09-14,,candidate_actual,First disbursement unknown
EIB,20170028,EUR12m investment grant signature,TUN,energy,signature,2025-10-01,2025-10-01,day,2023-11-02,https://www.eib.org/en/projects/all/20170028,Signature(s) EUR12m and footnote,2026-09-14,,candidate_actual,Do not reuse 2023 loan approval for this grant
EIB,20160852,intermediated credit line; not individual subproject,MAR,credit lines / water,signature,2017-12-06,2017-12-06,day,2017-05-31,https://www.eib.org/en/projects/all/20160852,Signature(s); reference20160852,2026-09-14,,candidate_actual,Approval not established
EIB,20160852,BOA agreement to close operation,MAR,credit lines / water,closure_agreement,2023-02-01,2023-02-28,month,2023-12-18,https://www.eib.org/files/pipeline/20160852-pcr-en.pdf,Printed p2 Cost and Schedule,2026-09-14,,candidate_actual,Report date not website publication; administrative agreement not physical completion
EIB,20160852,EUR7m unpaid EIB loan,MAR,credit lines / water,partial_cancellation,,,unknown,2023-12-18,https://www.eib.org/files/pipeline/20160852-pcr-en.pdf,Printed p2 Cost and Schedule,2026-09-14,,candidate_reported,Cancellation date not separately established; do not inherit closure month
EIB,20180765,child operation of urban transport framework,EGY,transport,approval,2023-09-20,2023-09-20,day,2023-01-31,https://www.eib.org/en/projects/all/20180765,Summary status and Milestone,2026-09-14,,candidate_actual,Signature absent in inspected page; not proof no signature elsewhere
EIB,19942037,ASECNA Senegal financing,SEN,transport,signature,1995-04-20,1995-04-20,day,,https://www.eib.org/en/projects/all/19942037,Signature(s) lines311-327,2026-09-14,,candidate_actual,No approval/date of entry shown
AFD,,STEG Smart Grid phase1 EUR120m sovereign loan; concours ID missing,TUN,energy,octroi,2018-01-01,2018-12-31,year,,https://www.afd.fr/fr/actualites/communique-de-presse/compteurs-electriques-intelligents-tunisie,Paragraph beginning AFD a octroye; line32,2026-09-14,,candidate_actual,Not an exact day; publication date not established in inspected text
AFD,,Same STEG Smart Grid phase1 EUR120m loan,TUN,energy,loan_convention_signature,2019-01-01,2019-01-31,month,,https://www.afd.fr/fr/actualites/communique-de-presse/compteurs-electriques-intelligents-tunisie,Same paragraph line32,2026-09-14,,candidate_actual,Not procurement signature; first payment unknown
AFD,,RFR Tunis EUR50m loan; identifier missing,TUN,transport,project_start_unspecified,2010-12-10,2010-12-10,day,,https://www.afd.fr/fr/projets/un-reseau-ferroviaire-rapide-pour-accompagner-la-croissance-de-tunis,Date de debut du projet lines27-31,2026-09-14,,not_financing_endpoint,No approval/signature semantics; undated narrative cannot date active status
