referent_kind,referent_id,review_status,checked_at,route,document_ids,notes
agreement,agreement-idn-fin-isle-1,collected,2026-09-12,World Bank project P174350 news and document routes,idn-jetp-progress-report-2025;idn-world-bank-isle1-2023;idn-world-bank-isle1-technical-assessment-2022,Direct announcement and technical assessment found; approval and physical implementation remain distinct
agreement,agreement-idn-fin-mrt-east-west,collected,2026-09-12,JICA press archive and exact-title search,idn-jetp-progress-report-2025;idn-jica-mrt-east-west-2024,Direct loan announcement found for Phase 1 I; no construction state is inferred from the loan agreement
agreement,agreement-idn-fin-mrt-north-south,collected,2026-09-12,JICA press archive and exact project-title search,idn-jetp-progress-report-2025;idn-jica-mrt-north-south-2023,Direct lender announcement found for Phase 2 II; the report's aggregate approved amount is retained separately
agreement,agreement-idn-fin-pbl-aset,collected,2026-09-12,ADB project 56368-001 and official news routes,idn-jetp-progress-report-2025;idn-adb-aset-56368-001;idn-adb-aset-news-2024,Direct project and approval pages found; cofinancier amounts remain event-level records
agreement,agreement-idn-fin-rbl-aicet,collected,2026-09-12,ADB project 56140-001 and official news routes,idn-jetp-progress-report-2025;idn-adb-aicet-56140-001;idn-adb-aicet-news-2025,Direct project and approval pages found; ADB fields permit later signing effectivity and disbursement updates
agreement,agreement-idn-fin-saguling-floating-solar,collected,2026-09-12,GFANZ exact-title search plus funder and operator routes,idn-jetp-progress-report-2025;idn-gfanz-saguling-2025,Direct JETP finance announcement found; 60 MW financing-table and 92 MWp project descriptions remain explicitly distinct
agreement,agreement-idn-fin-xurya-rooftop,collected,2026-09-12,JETP Secretariat project news search,idn-jetp-progress-report-2025;idn-jetp-xurya-equity-2024,Direct JETP equity announcement found for Norfund Climate Investment Fund and BII
agreement,agreement-idn-grant-asia-low-carbon-buildings,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-low-carbon-buildings,Direct official profile resolved; 2025 report event remains the dated approval observation
agreement,agreement-idn-grant-candi-umbul-telomoyo,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-candi-umbul,Direct official profile resolved; exploratory services do not imply plant construction
agreement,agreement-idn-grant-carbon-monetization,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-carbon-monetization,Direct official profile resolved; implementing partner remains unresolved where the profile is blank
agreement,agreement-idn-grant-case,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-case,Direct official profile resolved; regional programme scope retained
agreement,agreement-idn-grant-cefim,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-cefim,Direct official profile resolved; OECD country page also located
agreement,agreement-idn-grant-cetp,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-cetp,Direct official profile resolved; IEA programme scope retained
agreement,agreement-idn-grant-cfpp-site-repurposing,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-cfpp-repurposing,Direct official profile resolved; grant approval is not physical repurposing evidence
agreement,agreement-idn-grant-efsd-energy-preparation,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-efsd,Direct official profile resolved; preparation support remains distinct from construction
agreement,agreement-idn-grant-energy-hub,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-energy-hub,Direct official profile resolved; profile describes the German-Indonesian coordination function
agreement,agreement-idn-grant-enerkey,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-enerkey,Direct official profile resolved; IISD and Canadian project-browser routes also located
agreement,agreement-idn-grant-entri,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-entri,Direct official profile resolved; South-South triangular scope retained
agreement,agreement-idn-grant-esmap-canada,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-esmap-canada,Canadian ESMAP profile separately resolved from the UK ESMAP activity
agreement,agreement-idn-grant-esmap-uk,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-esmap-uk,UK ESMAP profile separately resolved from the Canadian contribution
agreement,agreement-idn-grant-etap,collected,2026-09-12,JETP official programme index pages 1-5 and direct profile,idn-jetp-progress-report-2025;idn-portfolio-etap,Direct profile records the December 2023 KfW-PLN grant signature
