source_id,author_publisher,title,edition_or_date,url,claims_or_access_notes,accessed_on
iati,IATI,Activity Standard,2.03,https://iatistandard.org/en/iati-standard/203/activity-standard/,Activity and transaction schema; not an OWL ontology,2026-09-14
prov,W3C,PROV-O: The PROV Ontology,2013-04-30 Recommendation,https://www.w3.org/TR/prov-o/,"Entities, activities, agents and derivation",2026-09-14
skos,W3C,SKOS Simple Knowledge Organization System Reference,2009-08-18 Recommendation,https://www.w3.org/TR/skos-reference/,Labels and concept mappings,2026-09-14
time,W3C,Time Ontology in OWL,Living page; accessed 2026-09-14,https://www.w3.org/TR/owl-time/,Temporal vocabulary; local uncertainty interpretation still needed,2026-09-14
fibo,EDM Council,Financial Industry Business Ontology,Living project; accessed 2026-09-14,https://spec.edmcouncil.org/fibo/,Financial concept reuse; no complete import proposed,2026-09-14
oeo,Open Energy Platform,Open Energy Ontology,Living project; accessed 2026-09-14,https://openenergyplatform.org/ontology/,Energy and modelling concepts,2026-09-14
ocds,Open Contracting Partnership,Records reference,OCDS 1.1.5,https://standard.open-contracting.org/latest/en/schema/records_reference/,"Releases, records and compiled releases",2026-09-14
ocdsmerge,Open Contracting Partnership,Merging,OCDS 1.1.5,https://standard.open-contracting.org/latest/en/schema/merging/,Publication merge rules; distinct from independent-source adjudication,2026-09-14
gemcoal,Global Energy Monitor,Global Coal Plant Tracker,July 2026 edition cited by project page,https://globalenergymonitor.org/projects/global-coal-plant-tracker,Unit thresholds; wiki histories; periodic updates; inferred status rules,2026-09-14
gemintegrated,Global Energy Monitor,Global Integrated Power Tracker,August 2026 citation on examined page,https://globalenergymonitor.org/projects/global-integrated-power-tracker,Federated tracker vintages and technology-specific coverage,2026-09-14
gemmaps,Global Energy Monitor,Maps repository README,Main branch; accessed 2026-09-14,https://raw.githubusercontent.com/GlobalEnergyMonitor/maps/main/README.md,Static data/configuration-driven maps; licence not verified,2026-09-14
tuff,AidData,Tracking Loans and Grants from China Globally: TUFF 4.0 Methodology,2025-11-18,https://www.aiddata.org/publications/tracking-loans-and-grants-from-china-globally-4-0-methodology,Structured documentary reconstruction; supersedes TUFF 3.0,2026-09-14
tuffmanual,AidData,Tracking Chinese Loans and Grants: TUFF 4.0 Methodology,2025; see date guidance around printed pp. 55–56 and 181,https://docs.aiddata.org/reports/chasing-china/Tracking_Chinese_Loans_and_Grants_TUFF_4_Methodology.pdf,Estimated dates and documentary implementation fields,2026-09-14
radar,Climate Policy Radar,What we do,Living page; accessed 2026-09-14,https://www.climatepolicyradar.org/what-we-do,"Shared document products, four climate funds, access process",2026-09-14
radarkg,Climate Policy Radar,Knowledge graph repository,Main project page; accessed 2026-09-14,https://github.com/climatepolicyradar/knowledge-graph,"Concepts, passage labels and labelling; Apache 2.0",2026-09-14
radarmethod,Climate Policy Radar,Knowledge graph methodology,Main branch; accessed 2026-09-14,https://github.com/climatepolicyradar/methodology/blob/main/knowledge-graph-methodology.md,Concept creation and classifier evaluation sampling,2026-09-14
cfu,Climate Funds Update,Notes and methodology,Undated living page; some historical definitions retained,https://climatefundsupdate.org/about-us/notes-and-methodology/,"Flow stages, source verification and disclosure limitations",2026-09-14
cfudashboard,Climate Funds Update,Data dashboard,Most funds through February 2026 per page,https://climatefundsupdate.org/data-dashboard/,Excel download and stated data cutoff,2026-09-14
cpi,Climate Policy Initiative,Global Landscape of Climate Finance 2025: Methodology,2025; PDF cover July 2025; flow methods pp. 24–26,https://www.climatepolicyinitiative.org/wp-content/uploads/2025/06/Global-Landscape-of-Climate-Finance-2025-Methodology.pdf,"Commitments, intermediaries, source hierarchy and restricted granular inputs",2026-09-14
carbon,Liu et al. / Scientific Data,"Carbon Monitor, a near-real-time daily dataset of global CO2 emission from fossil fuel and cement production","2020-11-09; Scientific Data 7, 392",https://www.nature.com/articles/s41597-020-00708-7,Activity-based daily estimates and uncertainty,2026-09-14
carbonlive,Carbon Monitor,Carbon Monitor live data site,Accessed 2026-09-14; current data cutoff not established,https://carbonmonitor.org/,Revision and release-date policy; historical access limits,2026-09-14
trace,Climate TRACE,What to know about Climate TRACE’s monthly data updates,2025-03-27,https://www.climatetrace.org/news/what-to-know-about-climate-traces-monthly-data-updates,"Lag, revisions, projections and version archive policy",2026-09-14
tracechanges,Climate TRACE Coalition,Methodology changelogs,2025 directory; accessed 2026-09-14,https://github.com/climatetracecoalition/methodology-documents/tree/main/2025/CHANGELOG,Example version and correction history; not latest-2026 claim,2026-09-14
ember,Ember,Electricity data methodology,Retrieved document labelled v1.5; country methods and annual/monthly distinctions,https://files.ember-energy.org/public-downloads/ember_electricity_data_methodology.pdf,"National sources, measurement coverage and harmonisation caveats",2026-09-14
emberapi,Ember,API documentation,Living documentation; accessed 2026-09-14,https://api.ember-energy.org/docs,Structured access with signup/key; CC BY 4.0 stated,2026-09-14
wri,World Resources Institute,Climate Watch,Living initiative page; accessed 2026-09-14,https://www.wri.org/initiatives/climate-watch,Multi-dataset country exploration; underlying versions need inspection,2026-09-14
cat,Climate Action Tracker,CAT rating methodology,Living methodology; accessed 2026-09-14,https://climateactiontracker.org/methodology/cat-rating-methodology/,"Separate policy, target and fairness evaluation dimensions",2026-09-14
oxford,"Lecavalier, Gupta, Hale and Wetzer / Oxford Climate Policy Hub",Climate Policy Monitor methodology,2025 edition; information as of August 2025,https://climatepolicymonitor.ox.ac.uk/methodology,"37 jurisdictions, expert coding/reconciliation, scope limits; CC BY 4.0",2026-09-14
capmf,OECD,The Climate Actions and Policies Measurement Framework (CAPMF),2025-04-24 explanation; 1990–2023 coverage in examined edition,https://www.oecd.org/en/data/insights/data-explainers/2025/04/the-climate-actions-and-policies-measurement-framework-capmf.html,Annual adoption/stringency framework and aggregation,2026-09-14
explorer,Stechemesser et al. / PIK publication repository,Climate policies that achieved major emission reductions: Global evidence from two decades,"Science, 2024; DOI 10.1126/science.adl6547",https://publications.pik-potsdam.de/pubman/faces/ViewItemOverviewPage.jsp?itemId=item_30172_4,Policy-outcome empirical research and its identification scope,2026-09-14
replication,Stechemesser et al. / Zenodo,Replication materials for Climate policies that achieved major emission reductions,2024 deposit; record 12773811,https://zenodo.org/records/12773811,Repository metadata and file list inspected; code not run,2026-09-14
owid,Our World in Data,ETL workflow,Living documentation; accessed 2026-09-14,https://docs.owid.io/projects/etl/architecture/workflow/,"Snapshot, conversion, harmonisation and publication dependencies",2026-09-14
owidlicense,Our World in Data,ETL licence,Master branch; accessed 2026-09-14,https://raw.githubusercontent.com/owid/etl/master/LICENSE,MIT software licence,2026-09-14
kausal,Kausal,Kausal Watch repository,Project README; accessed 2026-09-14,https://github.com/kausaltech/kausal-watch,Django/PostgreSQL action-plan application; AGPL 3.0; optional private extensions,2026-09-14
oep,Open Energy Platform,Scenario Bundles,Living page; accessed 2026-09-14,https://openenergyplatform.org/scenario-bundles/main,"Links studies, publications, models, scenarios and datasets; indexed text used",2026-09-14
oepdatabase,Open Energy Platform,Database topics,Living page; accessed 2026-09-14,https://openenergyplatform.org/database/,"OEMetadata, scenario datasets and volatile unversioned draft area",2026-09-14
earth,PyPSA meets Earth,PyPSA-Earth repository,Main branch; accessed 2026-09-14,https://github.com/pypsa-meets-earth/pypsa-earth,Global workflow including sector coupling; custom inputs; not locally validated,2026-09-14
pypsa,PyPSA contributors,Import and Export,Living documentation; page shows 2026-01-26 update,https://docs.pypsa.org/latest/user-guide/import-export/,"Component/time-series tables, defaults and netCDF network artifacts",2026-09-14
matching,PyPSA contributors,powerplantmatching repository,Project README; accessed 2026-09-14,https://github.com/PyPSA/powerplantmatching,"Plant matching, harmonisation, scaling; MIT code and separate data licences",2026-09-14
