kind,old_id,source_id,reason,old_project_id,relationship,review_status,locator
claim,idn-cmea-mar25-approved-aggregate,idn-cmea-progress-march-2025,no snapshot,,,,Financing progress
claim,idn-dieng3-adb-status,idn-project-dieng3-adb,no snapshot,,,,Project overview
claim,idn-cirebon-reuters-policy,idn-news-cirebon-retirement-reuters-2025,no snapshot,,,,Ministerial statement
claim,idn-rsud-c40-assessment,idn-project-rsud-retrofit-c40,no snapshot,,,,Preliminary results
claim,idn-ieefa-dediesel-delay,idn-ieefa-dediesel-update-2026,no snapshot,,,,Implementation constraints
link,idn-link-aicet-adb-project,idn-adb-aicet-56140-001,no snapshot,idn-fin-rbl-aicet,project_page,confirmed,project 56140-001
link,idn-link-aset-adb-project,idn-adb-aset-56368-001,no snapshot,idn-fin-pbl-aset,project_page,confirmed,project 56368-001
link,idn-link-ieefa-dediesel-east,idn-ieefa-dediesel-update-2026,no snapshot,idn-pipe-dediesel-east-phase1,possible_match,provisional,current programme assessment
link,idn-link-ieefa-dediesel-west,idn-ieefa-dediesel-update-2026,no snapshot,idn-pipe-dediesel-west-phase1,possible_match,confirmed,current programme assessment
link,idn-link-cirebon-reuters,idn-news-cirebon-retirement-reuters-2025,no snapshot,idn-pipe-cirebon-1-retirement,named_in,confirmed,ministerial statement
link,idn-link-dieng3-adb,idn-project-dieng3-adb,no snapshot,idn-pipe-dieng-3-4,project_page,confirmed,ADB project 58342-001
link,idn-link-rsud-c40,idn-project-rsud-retrofit-c40,no snapshot,idn-pipe-rsud-energy-efficiency,project_report,confirmed,whole report
link,round2-sen-project-annex-35-sen-afd-irve-ami12-2026,sen-afd-irve-ami12-2026,no snapshot,sen-project-annex-35,possible_match,provisional,"AMII12/2026, C_DEG_155; original body paragraph2"
link,sen-resume-sen-project-annex-28-sen-aner-gandiaye-tender-2020,sen-aner-gandiaye-tender-2020,no snapshot,sen-project-annex-28,possible_match,provisional,2020 tender route now returns HTML
link,sen-project-annex-23-sen-aner-project-api,sen-aner-project-api,no precise locator,sen-project-annex-23,possible_match,provisional,Related programme or geographic lead
link,sen-project-annex-25-sen-aner-project-api,sen-aner-project-api,no precise locator,sen-project-annex-25,possible_match,provisional,Related programme or geographic lead
link,sen-project-annex-28-sen-aner-project-api,sen-aner-project-api,no precise locator,sen-project-annex-28,possible_match,provisional,Related programme or geographic lead
link,sen-project-annex-30-sen-aner-project-api,sen-aner-project-api,no precise locator,sen-project-annex-30,possible_match,provisional,Related programme or geographic lead
link,sen-resume-sen-project-annex-05-sen-aser-www-retry,sen-aser-www-retry,no snapshot,sen-project-annex-05,possible_match,provisional,Connection refused
link,sen-resume-sen-project-annex-06-sen-aser-www-retry,sen-aser-www-retry,no snapshot,sen-project-annex-06,possible_match,provisional,Connection refused
link,sen-resume-sen-project-annex-07-sen-aser-www-retry,sen-aser-www-retry,no snapshot,sen-project-annex-07,possible_match,provisional,Connection refused
link,sen-resume-sen-project-qw-04-sen-aser-www-retry,sen-aser-www-retry,no snapshot,sen-project-qw-04,possible_match,provisional,Connection refused
