line_id,observation_id,country,ratified,operation,funder,instrument,amount_original,currency_original,event_date,legacy_status,source_filename,locator,confidence,notes,verification_verdict,verification_note,matched_snippet,project_count,portfolio_role
vnm-pilot-observations-local-record-row-1,vnm-pilot-observation-001,VNM,,Enveloppe globale JETP Viet Nam — mobilisation initiale,"IPG (UE, RU, US, JP, DE, FR, IT, CA, DK, NO) + GFANZ","mixte, non ventilé",15500000000,USD,2022-12-14,annoncé,ipg-political-declaration-2022-12.html,"Déclaration politique, paragraphe numéroté 18 : « To mobilise an initial amount of at least $15.5 billion over the next 3 to 5 years »",high,Ligne mère. « at least » = plancher. Horizon 3-5 ans à partir de déc. 2022.,verified,"ipg-political-declaration-2022-12.html, paragraph 18, matches exactly.",18. To mobilise an initial amount of at least $15.5 billion over the next 3 to 5 years through a combination of appropriate financial instr...,,
vnm-pilot-observations-local-record-row-2,vnm-pilot-observation-002,VNM,,Enveloppe globale JETP — part publique IPG,IPG (10 membres),"finance publique, termes plus favorables que le marché",7750000000,USD,2022-12-14,annoncé,ipg-political-declaration-2022-12.html,"Paragraphe 18, 2e phrase : « IPG members will mobilise $7.75 billion of public sector finance »",high,"CONFLIT: 8,08 Md USD dans le RMP (déc. 2023), 7,5 Md USD dans la déclaration UK/UE (mai 2025). Trois valeurs pour le même agrégat.",verified,"ipg-political-declaration-2022-12.html, paragraph 18, 2nd sentence, matches exactly.",IPG members will mobilise $7.75 billion of public sector finance which should be on more attractive terms than Viet Nam...,,
vnm-pilot-observations-local-record-row-3,vnm-pilot-observation-003,VNM,,Enveloppe globale JETP — part privée GFANZ,GFANZ Working Group,finance privée (mobilisation/facilitation),7750000000,USD,2022-12-14,annoncé,ipg-political-declaration-2022-12.html,"Paragraphe 18, 3e phrase : « at least $7.75 billion in private finance, subject to mobilisation of the catalytic public sector finance »",high,"Engagement conditionnel (« subject to »). Confirmé par gfanz-vietnam-working-group-2023.html, 2e paragraphe.",verified,"ipg-political-declaration-2022-12.html, paragraph 18, 3rd sentence, matches exactly.","will work to mobilise and facilitate at least $7.75 billion in private finance, subject to mobilisation of the catalytic public sector fina...",,
vnm-pilot-observations-local-record-row-4,vnm-pilot-observation-004,VNM,,Enveloppe JETP — attribution alternative de la part publique,IPG + Asian Development Bank + International Finance Corporation,pledges (non ventilé),7750000000,USD,2022-12-14,annoncé,us-embassy-declaration-2022-12.html,Ligne 34 du texte extrait : « Initial contributions to the Vietnam JETP include $7.75 billion in pledges from the IPG together with the Asian Development Bank and the International Finance Corporation »,high,"CONFLIT DE PÉRIMÈTRE : ce document inclut BAD et SFI dans les 7,75 Md, la Déclaration politique ne les mentionne pas. Formulation identique dans norway-ipg-join-2022-12.html.",verified,"us-embassy-declaration-2022-12.html, matches exactly the amount and attribution described in the row.",Initial contributions to the Vietnam JETP include $7.75 billion in pledges from the IPG together with the Asian Development Bank and the International Finance Corporation.,,
vnm-pilot-observations-local-record-row-5,vnm-pilot-observation-005,VNM,,Resource Mobilisation Plan — total révisé,IPG + GFANZ,mixte,15800000000,USD,2023-12-01,engagé,ipg-rmp-launch-joint-statement-2023-12.html,"Corps du communiqué, paragraphe « The RMP provides further details on USD 15.8 billion of finance that has been committed to the JETP »",high,"CONFLIT direct avec baochinhphu-rmp-announcement-2023-12.html (15,5 Md USD) pour le même événement, même jour. Verbe « has been committed », d'où statut engagé.",verified,"ipg-rmp-launch-joint-statement-2023-12.html, matches exactly.",RMP provides further details on USD 15.8 billion of finance that has been committed to the JETP,,
vnm-pilot-observations-local-record-row-6,vnm-pilot-observation-006,VNM,,Resource Mobilisation Plan — part IPG révisée,IPG,"dons, prêts concessionnels, instruments de partage de risque",8080000000,USD,2023-12-01,engagé,ipg-rmp-launch-joint-statement-2023-12.html,"Même paragraphe : « USD 8.08 billion being provided by IPG » ; instruments décrits au paragraphe suivant : « grants, concessional loans and risk-sharing instruments over a period of 3 to 5 years »",high,"CONFLIT : 7,75 Md USD selon baochinhphu (même jour) et selon la Déclaration politique 2022 ; 7,5 Md USD selon UK/UE mai 2025.",verified,"ipg-rmp-launch-joint-statement-2023-12.html, matches; same sentence as row 5, instruments (grants, concessional loans, risk-sharing) described in the following text.",USD 8.08 billion being provided by IPG,,
vnm-pilot-observations-local-record-row-7,vnm-pilot-observation-007,VNM,,Resource Mobilisation Plan — part GFANZ,GFANZ,finance privée,7750000000,USD,2023-12-01,engagé,ipg-rmp-launch-joint-statement-2023-12.html,Même paragraphe : « USD 7.75 billion by the Glasgow Financial Alliance for Net Zero (GFANZ) »,high,Seule composante stable entre 2022 et 2023.,verified,"ipg-rmp-launch-joint-statement-2023-12.html, matches exactly, same sentence as rows 5 and 6.",USD 7.75 billion by the Glasgow Financial Alliance for Net Zero (GFANZ),,
vnm-pilot-observations-local-record-row-8,vnm-pilot-observation-008,VNM,,Resource Mobilisation Plan — version vietnamienne du total,IPG + GFANZ,mixte,15500000000,USD,2023-12-01,engagé,baochinhphu-rmp-announcement-2023-12.html,"Article « Viet Nam announces resource mobilization plan to implement JETP in Dubai », paragraphe « Partners committed to mobilise an initial US$15.5 billion over the next three to five years »",high,"CONFLIT avec le communiqué IPG du même jour (15,8 Md). Ventilation ici : 7,75 IPG + 7,75 GFANZ, soit la ventilation de 2022 et non celle du RMP.",verified,"Montant 15.5 milliards USD trouvé tel quel dans le document, au paragraphe indiqué.",Partners committed to mobilise an initial US$15.5 billion over the next three to five years,,
vnm-pilot-observations-local-record-row-9,vnm-pilot-observation-009,VNM,,Resource Mobilisation Plan — part IPG selon le gouvernement vietnamien,IPG,prêts à conditions plus attractives que le marché,7750000000,USD,2023-12-01,engagé,baochinhphu-rmp-announcement-2023-12.html,"Même paragraphe : « Of this, US$7.75 billion is to be mobilised by IPG members, with more attractive loan conditions than the current capital market »",high,"CONFLIT avec 8,08 Md USD du communiqué IPG du même jour.",verified,"Montant 7.75 milliards USD trouvé tel quel dans le document, même paragraphe.","Of this, US$7.75 billion is to be mobilised by IPG members, with more attractive loan conditions than the current capital market",,
vnm-pilot-observations-local-record-row-10,vnm-pilot-observation-010,VNM,,Enveloppe JETP — restatement UK/UE 2025,IPG (public) + GFANZ (privé),"dons, prêts concessionnels et commerciaux, instruments",15000000000,USD,2025-05-29,annoncé,uk-eu-jetp-progress-2025-05.html,"Section « Background », dernier paragraphe : « original funding commitments of $15.5 billion, including $7.5 billion public sector finance from IPG members (grants, concessional and commercial loans and instruments) and $7.5 billion private sector finance facilitated by GFANZ »",high,"CONFLIT INTERNE AU DOCUMENT : le total annoncé est 15,5 Md mais la ventilation 7,5 + 7,5 ne fait que 15,0 Md. Montant codé ici = la somme des deux composantes explicitées. Texte identique dans eeas-jetp-progress-macron-2025-05.html (en USD). À arbitrer par l'auteur.",partial,"La ligne enregistre 15000000000 USD (15 milliards), mais le document dit explicitement '$15.5 billion' dans la section Background. Le chiffre exact sourcé (15.5bn) ne correspond pas au montant de 15bn inscrit dans la ligne — écart de 500M USD.","the JETP partners secured original funding commitments of $15.5 billion, including $7.5 billion public sector finance from IPG members (grants, concessional and commercial loans and instruments) and $7.5 billion private sector finance facilitated by GFANZ",,
