country,legacy_table,legacy_event_id,legacy_source_id,legacy_locator,observation_id,current_line_id,current_line_locator,mismatch,legacy_source_retrieval_sha256,current_line_sha256
IDN,events,idn-approved-isle1-canada-2025,idn-jetp-progress-report-2025,Table 4.3-2 p.72,observation-idn-approved-isle1-canada-2025,idn-world-bank-isle1-technical-assessment-2022-claim-66,Programme design: Technical assessment for Sustainable Least-Cost Electrification 1 under World Bank project P174350,line_snapshot_not_from_legacy_source,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,114029a6f554d2a6b20dc66bcc6c412b1d2d3c35d6f496abceb5cc3d885717d8
IDN,events,idn-approved-xurya-norfund-2025,idn-jetp-progress-report-2025,Table 4.3-2 p.72,observation-idn-approved-xurya-norfund-2025,idn-jetp-xurya-equity-2024-claim-75,Equity: Norfund Climate Investment Fund committed USD 25m and BII USD 5m to Xurya within a USD 55m funding round,line_snapshot_not_from_legacy_source,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,3ac1ee60e7e04efcd54da66897f835a7bf5d51de13557f9346a2c81d0c62cfef
IDN,events,idn-approved-xurya-bii-2025,idn-jetp-progress-report-2025,Table 4.3-2 p.72,observation-idn-approved-xurya-bii-2025,idn-jetp-xurya-equity-2024-claim-75,Equity: Norfund Climate Investment Fund committed USD 25m and BII USD 5m to Xurya within a USD 55m funding round,line_snapshot_not_from_legacy_source,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,3ac1ee60e7e04efcd54da66897f835a7bf5d51de13557f9346a2c81d0c62cfef
IDN,events,idn-approved-aset-kfw-2025,idn-jetp-progress-report-2025,Table 4.3-2 p.72,observation-idn-approved-aset-kfw-2025,idn-adb-aset-news-2024-claim-69,Approval: ADB approved a USD 500m policy-based loan for ASET with AFD and KfW as cofinancing partners,line_snapshot_not_from_legacy_source,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,6080b6d96abaddd85eba4b9762d458ed6b071c652a09885539b4589d726b1fd7
IDN,events,idn-approved-aset-afd-2025,idn-jetp-progress-report-2025,Table 4.3-2 p.72,observation-idn-approved-aset-afd-2025,idn-adb-aset-news-2024-claim-69,Approval: ADB approved a USD 500m policy-based loan for ASET with AFD and KfW as cofinancing partners,line_snapshot_not_from_legacy_source,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,6080b6d96abaddd85eba4b9762d458ed6b071c652a09885539b4589d726b1fd7
IDN,events,idn-approved-aicet-afd-2025,idn-jetp-progress-report-2025,Table 4.3-2 p.72,observation-idn-approved-aicet-afd-2025,idn-adb-aicet-news-2025-claim-70,Approval: ADB approved USD 470m plus USD 30m in administered funds and a USD 3m grant; implementation is planned for 2026-2031,line_snapshot_not_from_legacy_source,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,5714eaa6cac6eabc0544c61c0c151c26d898e63322a8da865485a2fd85c2bf7c
IDN,events,idn-approved-aicet-uk-adb-2025,idn-jetp-progress-report-2025,Table 4.3-2 p.72,observation-idn-approved-aicet-uk-adb-2025,idn-adb-aicet-news-2025-claim-70,Approval: ADB approved USD 470m plus USD 30m in administered funds and a USD 3m grant; implementation is planned for 2026-2031,line_snapshot_not_from_legacy_source,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,5714eaa6cac6eabc0544c61c0c151c26d898e63322a8da865485a2fd85c2bf7c
IDN,events,idn-approved-aicet-eu-acgf-2025,idn-jetp-progress-report-2025,Table 4.3-2 p.72,observation-idn-approved-aicet-eu-acgf-2025,idn-adb-aicet-news-2025-claim-70,Approval: ADB approved USD 470m plus USD 30m in administered funds and a USD 3m grant; implementation is planned for 2026-2031,line_snapshot_not_from_legacy_source,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,5714eaa6cac6eabc0544c61c0c151c26d898e63322a8da865485a2fd85c2bf7c
IDN,events,idn-approved-saguling-blended-2025,idn-jetp-progress-report-2025,Table 4.3-2 p.72,observation-idn-approved-saguling-blended-2025,idn-cipp-2023-cpr-mirror-solar-9,"Appendix 10.6, row 9",line_snapshot_not_from_legacy_source,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,747283facac512780ad757313c493d1080c39705824e72c4b231e87ecb4102b5
IDN,events,idn-approved-mrt-north-south-jica-2025,idn-jetp-progress-report-2025,Table 4.3-2 p.72,observation-idn-approved-mrt-north-south-jica-2025,idn-jica-mrt-north-south-2023-claim-68,Loan agreement: JICA signed JPY 87.918bn for Construction of Jakarta MRT Project Phase 2 II on 31 March 2023,line_snapshot_not_from_legacy_source,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,713bf4e23711a5d0c913224dcd8841f275b52462cfd9dd31cb0812c3fe42f577
IDN,events,idn-approved-wolcot-canada-2025,idn-jetp-progress-report-2025,Table 4.3-4 p.73,observation-idn-approved-wolcot-canada-2025,idn-portfolio-wolcot-portfolio-1,Project heading: Women-Led Coal Transition Mechanism (WOLCOT),line_snapshot_not_from_legacy_source,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,54d0792e063ebb0b4137787e2d7243719d9a85517afdb8fa4d286eea14792ec0
IDN,events,idn-approved-esmap-canada-2025,idn-jetp-progress-report-2025,Table 4.3-4 p.73,observation-idn-approved-esmap-canada-2025,idn-portfolio-esmap-canada-portfolio-2,Project heading: Energy Sector Management Assistance Program (ESMAP),line_snapshot_not_from_legacy_source,74fb460fd09e76607e3cff308f5ba2754f2ebd91b0c9b7613c1a041e7b361162,f690fce534af1d0b26ede04816a04a5bd984e99d965de0a6d52e8249b7c23904
