case_id,issue,disposition,evidence_id,next_document
GB-1-109635,stage coverage incomplete,retained; no approval/procurement transition pair,GB-1-109635,business-case decision and programme-linked procurement instrument
GB-1-107154,stage coverage incomplete,retained; no approval/procurement transition pair,GB-1-107154,business-case decision and programme-linked procurement instrument
GB-1-107859,start corroborated; approval and procurement date not established,retained; no approval/procurement transition pair,GB-1-107859,business-case decision and programme-linked procurement instrument
GB-GOV-3-Chevening Scholarships-MA,stage coverage incomplete,retained; no approval/procurement transition pair,GB-GOV-3-Chevening Scholarships-MA,business-case decision and programme-linked procurement instrument
GB-1-110657,stage coverage incomplete,retained; no approval/procurement transition pair,GB-1-110657,business-case decision and programme-linked procurement instrument
GB-1-108984,stage coverage incomplete,retained; no approval/procurement transition pair,GB-1-108984,business-case decision and programme-linked procurement instrument
GB-1-104836,stage coverage incomplete,retained; no approval/procurement transition pair,GB-1-104836,business-case decision and programme-linked procurement instrument
GB-1-109636,stage coverage incomplete,retained; no approval/procurement transition pair,GB-1-109636,business-case decision and programme-linked procurement instrument
GB-1-107160,selected case not attempted before cap,retained in denominator; no replacement,catalogue,structured activity payload then exact stage documents
GB-1-107874,selected case not attempted before cap,retained in denominator; no replacement,catalogue,structured activity payload then exact stage documents
GB-GOV-3-Frontline Diplomatic Enabling Activity-MA,selected case not attempted before cap,retained in denominator; no replacement,catalogue,structured activity payload then exact stage documents
GB-1-113505,selected case not attempted before cap,retained in denominator; no replacement,catalogue,structured activity payload then exact stage documents
GB-1-112151,programme start 2007-03-09 differs from component start; no date inheritance,resolved semantics; documentary transition unresolved,GB-1-112151,dated programme approval and contract/award instrument; historical inclusion snapshots
GB-1-112151-101,component start 2007-02-01; aggregated expenditure 2007-03-31 predates transfers 2010-08-11; first spending unknown,resolved semantics; documentary transition unresolved,GB-1-112151-101,dated programme approval and contract/award instrument; historical inclusion snapshots
GB-GOV-1-400032,pipeline is a planning status; no dated approval/procurement document exposed in structured payload,resolved semantics; documentary transition unresolved,GB-GOV-1-400032,dated programme approval and contract/award instrument; historical inclusion snapshots
GB-GOV-1-400142,pipeline is a planning status; no dated approval/procurement document exposed in structured payload,resolved semantics; documentary transition unresolved,GB-GOV-1-400142,dated programme approval and contract/award instrument; historical inclusion snapshots
GB-GOV-1-400343,pipeline is a planning status; no dated approval/procurement document exposed in structured payload,resolved semantics; documentary transition unresolved,GB-GOV-1-400343,dated programme approval and contract/award instrument; historical inclusion snapshots
GB-GOV-1-400397,pipeline is a planning status; no dated approval/procurement document exposed in structured payload,resolved semantics; documentary transition unresolved,GB-GOV-1-400397,dated programme approval and contract/award instrument; historical inclusion snapshots
GB-GOV-1-400542,pipeline is a planning status; no dated approval/procurement document exposed in structured payload,resolved semantics; documentary transition unresolved,GB-GOV-1-400542,dated programme approval and contract/award instrument; historical inclusion snapshots
GB-GOV-1-400717,pipeline is a planning status; no dated approval/procurement document exposed in structured payload,resolved semantics; documentary transition unresolved,GB-GOV-1-400717,dated programme approval and contract/award instrument; historical inclusion snapshots
,"catalogue fl omitted vocabulary, finance type, recipient-region details and structured fields",selection frozen as mixed-or-unmapped/missing; absence of columns is not underlying missingness,catalogue,future separately frozen full-payload export
GB-GOV-3-Chevening Scholarships-MA,legacy GB-GOV-3 identity inside reporting_org_ref GB-GOV-1 query,retained as FCDO reporting lineage; identifier prefix not financing institution,GB-GOV-3-Chevening Scholarships-MA,programme-specific award/approval evidence; general supplier guidance insufficient
,publisher historical route HTTP403; two document HTTP301 responses,all failed units counted; successful HTTPS variants archived; no historical snapshot acquired,guidance,dated retained catalogue snapshots and cancellation/removal policy
